number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_variant,user_attrs_artifact,system_attrs_fixed_params,state
0,0.9417468412110892,2026-09-10 02:36:49.797586,2026-09-10 02:39:29.321876,0 days 00:02:39.524290,0.85,0.04,255,6,80,31,0.01,8.0,0.85,raw,lgb_0,"{'variant': 'raw', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04, 'max_bin': 255}",COMPLETE
1,0.9451189232804997,2026-09-10 02:39:29.360059,2026-09-10 02:42:26.271567,0 days 00:02:56.911508,0.85,0.04,255,6,80,31,0.01,8.0,0.85,numeric_te,lgb_1,"{'variant': 'numeric_te', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04, 'max_bin': 255}",COMPLETE
2,0.9451947533474834,2026-09-10 02:42:26.293177,2026-09-10 02:49:00.865390,0 days 00:06:34.572213,0.85,0.04,255,6,80,31,0.01,8.0,0.85,digits_te,lgb_2,"{'variant': 'digits_te', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04, 'max_bin': 255}",COMPLETE
3,0.9455489965951895,2026-09-10 02:49:00.887829,2026-09-10 02:54:47.889439,0 days 00:05:47.001610,0.85,0.04,255,6,80,31,0.01,8.0,0.85,multiscale_te,lgb_3,"{'variant': 'multiscale_te', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04, 'max_bin': 255}",COMPLETE
4,0.9455836196514161,2026-09-10 02:54:47.982875,2026-09-10 03:01:20.952458,0 days 00:06:32.969583,0.85,0.04,255,6,80,31,0.01,8.0,0.85,multiscale_dual,lgb_4,"{'variant': 'multiscale_dual', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04, 'max_bin': 255}",COMPLETE
5,0.94568348097424,2026-09-10 03:01:20.970876,2026-09-10 03:06:51.114501,0 days 00:05:30.143625,0.5,0.04,511,5,20,31,0.07,2.0,0.85,multiscale_dual,lgb_5,"{'variant': 'multiscale_dual', 'max_depth': 5, 'num_leaves': 31, 'min_child_samples': 20, 'reg_alpha': 0.07, 'reg_lambda': 2.0, 'subsample': 0.85, 'colsample_bytree': 0.5, 'learning_rate': 0.04, 'max_bin': 511}",COMPLETE
