number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_variant,user_attrs_artifact,system_attrs_fixed_params,state
0,0.9417468412110892,2026-09-09 18:46:12.581717,2026-09-09 18:48:58.697237,0 days 00:02:46.115520,0.85,0.04,6,80,31,0.01,8.0,0.85,raw,lgb_0,"{'variant': 'raw', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04}",COMPLETE
1,0.9416021346940469,2026-09-09 18:48:58.727579,2026-09-09 18:52:17.117316,0 days 00:03:18.389737,0.85,0.04,6,80,31,0.01,8.0,0.85,interaction,lgb_1,"{'variant': 'interaction', 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 80, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04}",COMPLETE
