number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,params_variant,user_attrs_artifact,system_attrs_fixed_params,state
0,0.9416838642431195,2026-09-09 18:52:17.345754,2026-09-09 18:57:28.818606,0 days 00:05:11.472852,0.85,0.1,0.04,5,8.0,0.01,8.0,0.85,raw,xgb_0,"{'variant': 'raw', 'max_depth': 5, 'min_child_weight': 8.0, 'gamma': 0.1, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04}",COMPLETE
1,0.9415018095567443,2026-09-09 18:57:28.851199,2026-09-09 19:03:14.472485,0 days 00:05:45.621286,0.85,0.1,0.04,5,8.0,0.01,8.0,0.85,interaction,xgb_1,"{'variant': 'interaction', 'max_depth': 5, 'min_child_weight': 8.0, 'gamma': 0.1, 'reg_alpha': 0.01, 'reg_lambda': 8.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'learning_rate': 0.04}",COMPLETE
